Date,Price USDJPY,Price EURUSD,Price GBPJPY
6/17/2016,104.16,1.1277,149.574
6/16/2016,104.26,1.1225,148.081
6/15/2016,106.01,1.126,150.587
6/14/2016,106.11,1.1207,149.772
6/13/2016,106.26,1.1292,151.543
,,,
6/10/2016,106.97,1.1251,152.536
6/9/2016,107.1,1.1316,154.825
6/8/2016,106.99,1.1395,155.173
6/7/2016,107.37,1.1358,156.155
6/6/2016,107.56,1.1355,155.322
,,,
6/3/2016,106.53,1.1367,154.677
6/2/2016,108.87,1.1151,157.02
6/1/2016,109.54,1.1188,157.912
5/31/2016,110.73,1.1132,160.346
5/30/2016,111.12,1.1138,162.681
,,,
5/27/2016,110.31,1.1115,161.435
5/26/2016,109.76,1.1194,161.023
5/25/2016,110.19,1.1155,161.939
5/24/2016,109.99,1.1141,160.979
5/23/2016,109.24,1.122,158.223
,,,
5/20/2016,110.15,1.1224,159.821
5/19/2016,109.96,1.1203,160.672
5/18/2016,110.19,1.1216,160.872
5/17/2016,109.14,1.1313,157.855
5/16/2016,109.03,1.1321,157.013
,,,
5/13/2016,108.63,1.1309,156.044
5/12/2016,109.02,1.1377,157.526
5/11/2016,108.41,1.1426,156.631
5/10/2016,109.27,1.1372,157.802
5/9/2016,108.32,1.1383,156.06
,,,
5/6/2016,107.12,1.1404,154.557
5/5/2016,107.26,1.1405,155.365
5/4/2016,107.01,1.1487,155.12
5/3/2016,106.6,1.1496,154.97
5/2/2016,106.41,1.1534,156.14
,,,
4/29/2016,106.5,1.1451,155.604
4/28/2016,108.11,1.1352,157.945
4/27/2016,111.46,1.1322,162.092
4/26/2016,111.31,1.1297,162.307
4/25/2016,111.2,1.1268,161.053
,,,
4/22/2016,111.79,1.1222,160.997
4/21/2016,109.46,1.1288,156.783
4/20/2016,109.84,1.1297,157.426
4/19/2016,109.21,1.1358,157.245
4/18/2016,108.82,1.1313,155.373
,,,
4/15/2016,108.76,1.1284,154.433
4/14/2016,109.4,1.1268,154.847
4/13/2016,109.34,1.1274,155.311
4/12/2016,108.54,1.1386,154.94
4/11/2016,107.94,1.1408,153.7
,,,
4/8/2016,108.07,1.1399,152.71
